date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:36	1670/1670	---MCZ	404	error ('Not%20Found')	text/html	etag:1595435282-ssl-df	https://machinebreak.com/robots.txt		(from )
20:02:36	28231/28231	---MCZ	200	added ('OK')	text/html	etag:%22cf9a1aeb76f378be5d4689a7c88999a8-ssl-df%22	https://machinebreak.com/	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.html	(from )
20:02:37	13252/13252	---MCZ	200	added ('OK')	text/css	etag:%221be8029dd6c674afaf0197bd4d27a1c1-ssl-df%22	https://machinebreak.com/assets/fonts/Feather/feather.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/fonts/Feather/feather.css	(from https://machinebreak.com/)
20:02:38	12795/12795	---MCZ	200	added ('OK')	text/css	etag:%22cca1490be321be70f96d3dfda16975bc-ssl-df%22	https://machinebreak.com/assets/libs/@fancyapps/fancybox/dist/jquery.fancybox.min.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/@fancyapps/fancybox/dist/jquery.fancybox.min.css	(from https://machinebreak.com/)
20:02:39	28765/28765	---MCZ	200	added ('OK')	text/css	etag:%222318a561e9cacdc63cdec1304b77c2ea-ssl-df%22	https://machinebreak.com/assets/libs/aos/dist/aos.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/aos/dist/aos.css	(from https://machinebreak.com/)
20:02:41	6679/6679	---MCZ	200	added ('OK')	text/css	etag:%22fe6f8b05c111fa8f7a7a765a6e8fc78e-ssl-df%22	https://machinebreak.com/assets/libs/choices.js/public/assets/styles/choices.min.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/choices.js/public/assets/styles/choices.min.css	(from https://machinebreak.com/)
20:02:42	211/211	---M--	200	added ('OK')	text/css	etag:%227d952a34fa4f3e431116088dde83e7f4-ssl%22	https://machinebreak.com/assets/libs/flickity-fade/flickity-fade.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/flickity-fade/flickity-fade.css	(from https://machinebreak.com/)
20:02:43	1797/1797	---M-Z	200	added ('OK')	text/css	etag:%224e44f76f580b8d48c1d407cf23bd4926-ssl-df%22	https://machinebreak.com/assets/libs/flickity/dist/flickity.min.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/flickity/dist/flickity.min.css	(from https://machinebreak.com/)
20:02:44	1425/1425	---M-Z	200	added ('OK')	text/css	etag:%227c470d4692cb39ed759b7366b0dec76e-ssl-df%22	https://machinebreak.com/assets/libs/highlightjs/styles/vs2015.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/highlightjs/styles/vs2015.css	(from https://machinebreak.com/)
20:02:44	335/335	---M--	200	added ('OK')	text/css	etag:%2271d799edec5ca1d43f66c8a523a07ecc-ssl%22	https://machinebreak.com/assets/libs/jarallax/dist/jarallax.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/jarallax/dist/jarallax.css	(from https://machinebreak.com/)
20:02:46	9020/9020	---MCZ	200	added ('OK')	text/css	etag:%22619e56e4bb84d6a798d6ebd48f8d1959-ssl-df%22	https://machinebreak.com/assets/libs/quill/dist/quill.core.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/quill/dist/quill.core.css	(from https://machinebreak.com/)
20:02:47	277926/277926	---MCZ	200	added ('OK')	text/css	etag:%22dcf8ce56057f024f4e3ee7b829969bfc-ssl-df%22	https://machinebreak.com/assets/css/theme.min.css	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/css/theme.min.css	(from https://machinebreak.com/)
20:02:48	6094/6094	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22cf9a1aeb76f378be5d4689a7c88999a8-ssl-df%22	https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.a.delayed	(from https://machinebreak.com/)
20:02:49	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.c.delayed	(from https://machinebreak.com/)
20:02:49	21965/21965	---M--	200	added ('OK')	image/jpeg	etag:%22fdad28b393fd597a887abc7fb4aea1fb-ssl%22	https://machinebreak.com/assets/img/logo.jpg	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/logo.jpg	(from https://machinebreak.com/)
